"treeID","lat","lon","y","x","code8","genus","species","crown","dbh","elev","slope","swale","code2","crown_2008","crown_2016","dbh_2008","dbh_2012","dbh_2016","scientific"
1448,40.6645401702715,-77.9034719181913,147823.192,587022.8093,"quercusPrinus","Quercus","prinus",3,"28.4","285.56774799999999","S","P","QUPR","I","I",27.686,"28.4","28.4","Quercus prinus"
1449,40.664488361597,-77.9034018052347,147817.428681,587028.727872,"quercusRubra","Quercus","rubra",1,"43.1","288.04052799999999","S","P","QURU","D","D",40.64,"42.2","43.1","Quercus rubra"
1450,40.6644789496512,-77.9033897727784,147816.381778,587029.74349,"quercusRubra","Quercus","rubra",2,"32.700000000000003","288.64173499999998","S","P","QURU","CD","CD",31.242,"33.200000000000003","32.700000000000003","Quercus rubra"
1451,40.6644830347203,-77.9033549861888,147816.83029,587032.685742,"quercusPrinus","Quercus","prinus",2,"32.1","289.58261800000002","S","P","QUPR","CD","CD",31.75,"32.200000000000003","32.1","Quercus prinus"
1452,40.6644219784043,-77.9033881561,147810.055252,587029.869204,"quercusAlba","Quercus","alba",2,"42.8","288.98367100000002","S","SW","QUAL","CD","CD",42.164,"42","42.8","Quercus alba"
1453,40.664377962527,-77.9034228804583,147805.172674,587026.924508,"quercusPrinus","Quercus","prinus",1,"41.3","288.52658400000001","S","SW","QUPR","D","D",38.862,"41","41.3","Quercus prinus"
1454,40.6643731629659,-77.9034214524379,147804.639504,587027.044332,"quercusPrinus","Quercus","prinus",2,"26.8","288.50936000000002","S","SW","QUPR","CD","CD",26.924,"27","26.8","Quercus prinus"
1455,40.6643888564765,-77.9034560717483,147806.387253,587024.120036,"quercusAlba","Quercus","alba",1,"44.4","287.69726800000001","S","SW","QUAL","D","D",43.688,"44.1","44.4","Quercus alba"
1456,40.6644739956209,-77.9035021920171,147815.848182,587020.236653,"quercusRubra","Quercus","rubra",1,"52.1","285.62884400000002","S","SW","QURU","D","D",46.99,"49.1","52.1","Quercus rubra"
1457,40.6644458969081,-77.9035824443024,147812.7398,587013.4453,"quercusPrinus","Quercus","prinus",2,"33.799999999999997","284.408908","S","SW","QUPR","CD","CD",32.004,"33.200000000000003","33.799999999999997","Quercus prinus"
1458,40.6644829977093,-77.9035864967532,147816.8602,587013.1098,"quercusAlba","Quercus","alba",2,"36.9","283.51557000000003","S","SW","QUAL","CD","CD",36.576,"37.6","36.9","Quercus alba"
1459,40.6645421791568,-77.9035509480027,147823.42669,587016.127137,"quercusRubra","Quercus","rubra",2,"26.1","283.34428300000002","S","SW","QURU","CD","CD",25.4,"25.4","26.1","Quercus rubra"
1460,40.6646290087669,-77.903573684104,147833.0719,587014.2214,"quercusPrinus","Quercus","prinus",2,"38","282.26742000000002","S","P","QUPR","CD","CD",36.068,"37.1","38","Quercus prinus"
1461,40.6647033278393,-77.9035930455849,147841.3274,587012.5986,"quercusPrinus","Quercus","prinus",2,"31.3","280.926354","S","P","QUPR","CD","CD",30.48,"31.5","31.3","Quercus prinus"
1462,40.6647237829072,-77.9036154618008,147843.6021,587010.7071,"quercusRubra","Quercus","rubra",1,"62.7","280.46471700000001","S","P","QURU","D","D",57.912,"60.4","62.7","Quercus rubra"
1463,40.6646392952434,-77.9037344567344,147834.2378,587000.6289,"quercusRubra","Quercus","rubra",1,"59.1","278.343478","S","SW","QURU","D","D",55.626,"58.2","59.1","Quercus rubra"
1464,40.6645842756232,-77.9036724415507,147828.1191,587005.8621,"quercusRubra","Quercus","rubra",1,"61.8","280.12041499999998","S","SW","QURU","D","D",58.928,"60.4","61.8","Quercus rubra"
1465,40.6645560871857,-77.9036584935353,147824.986904,587007.03606,"quercusAlba","Quercus","alba",2,"34","280.430746","S","SW","QUAL","CD","CD",32.512,"33.299999999999997","34","Quercus alba"
