"","treeID","gridID","x","y","dbh","code2","cd2_gss","l/d","nt_2021","notes","scintfc","genus","species","code8","geometry"
"81",84,105,584195.6653,148786.3264,46.99,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584195.6653, 148786.3264)
"82",85,105,584197.8041,148781.7825,12.192,"ACPE",NA,"L",NA,NA,"Acer pennsylvanicum","Acer","pennsylvanicum","acerPennsylv",c(584197.8041, 148781.7825)
"83",86,105,584202.2567,148788.7055,47.752,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584202.2567, 148788.7055)
"84",87,105,584203.132,148783.6365,19.05,"BELE",NA,"L",NA,NA,"Betula lenta","Betula","lenta","betulaLenta",c(584203.132, 148783.6365)
"85",88,105,584205.7528,148783.7263,11.938,"ACPE",NA,"L",NA,"On edge of plot","Acer pennsylvanicum","Acer","pennsylvanicum","acerPennsylv",c(584205.7528, 148783.7263)
"86",89,105,584203.4099,148776.6582,17.018,"BELE",NA,"L",NA,NA,"Betula lenta","Betula","lenta","betulaLenta",c(584203.4099, 148776.6582)
"87",90,105,584199.4032,148775.4911,13.97,"BELE",NA,"L",NA,NA,"Betula lenta","Betula","lenta","betulaLenta",c(584199.4032, 148775.4911)
"88",91,105,584202.7196,148774.1862,13.462,"ACPE",NA,"L",NA,NA,"Acer pennsylvanicum","Acer","pennsylvanicum","acerPennsylv",c(584202.7196, 148774.1862)
"89",92,105,584207.2614,148770.0705,10.414,"COFL",NA,"L",NA,NA,"Cornus florida","Cornus","florida","cornusFlorida",c(584207.2614, 148770.0705)
"90",93,105,584199.2619,148774.0438,12.446,"BELE",NA,"L",NA,NA,"Betula lenta","Betula","lenta","betulaLenta",c(584199.2619, 148774.0438)
"91",94,105,584200.8058,148771.6823,35.56,"QUCO",NA,"L",NA,NA,"Quercus coccinea","Quercus","coccinea","quercusCoccinea",c(584200.8058, 148771.6823)
"92",95,105,584199.0678,148768.8236,11.684,"COFL",NA,"L",NA,NA,"Cornus florida","Cornus","florida","cornusFlorida",c(584199.0678, 148768.8236)
"93",96,105,584191.7899,148769.4681,41.91,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584191.7899, 148769.4681)
"94",97,105,584188.3466,148768.4588,54.864,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584188.3466, 148768.4588)
"95",98,105,584190.5337,148771.7893,11.43,"COFL",NA,"D",NA,"Dead","Cornus florida","Cornus","florida","cornusFlorida",c(584190.5337, 148771.7893)
"96",99,105,584186.524,148772.55,23.368,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584186.524, 148772.55)
"97",100,105,584183.0208,148773.8241,35.306,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584183.0208, 148773.8241)
